Date,Open,High,Low,Close,Volume
2016-11-18,761.0,767.74,757.64,760.16,4373400
2016-11-21,766.0,780.35,765.11,780.0,4614600
2016-11-22,788.17,792.4,781.0,785.33,5311300
2016-11-23,781.73,781.75,773.12,780.12,3540300
2016-11-25,786.5,786.75,777.9,780.37,1837100
2016-11-28,776.99,777.0,764.24,766.77,4438800
2016-11-29,768.0,769.89,761.32,762.52,3272300
2016-11-30,762.0,768.09,750.25,750.57,4625900
2016-12-01,752.41,753.37,738.03,743.65,4666000
2016-12-02,743.4,748.49,736.7,740.34,3561300
2016-12-05,745.0,761.49,742.0,759.36,4314700
2016-12-06,763.99,768.24,757.25,764.72,3794700
2016-12-07,764.55,770.42,755.82,770.42,3684900
2016-12-08,771.87,773.79,765.19,767.33,3189600
2016-12-09,770.0,770.25,765.34,768.66,2470900
2016-12-12,766.4,766.89,757.2,760.12,2963900
2016-12-13,764.96,782.46,762.0,774.34,5285300
2016-12-14,778.25,780.86,762.81,768.82,5454800
2016-12-15,766.28,769.1,760.31,761.0,3801900
2016-12-16,765.0,765.13,754.0,757.77,4848200
2016-12-19,758.89,770.5,756.16,766.0,3113200
2016-12-20,768.65,774.39,767.71,771.22,2703600
2016-12-21,770.0,771.22,765.7,770.6,2044600
2016-12-22,768.12,771.21,763.02,766.34,2543600
2016-12-23,764.55,766.5,757.99,760.59,1981600
2016-12-27,763.4,774.65,761.2,771.4,2638700
2016-12-28,776.25,780.0,770.5,772.13,3301000
2016-12-29,772.4,773.4,760.85,765.15,3158300
2016-12-30,766.47,767.4,748.28,749.87,4139400
2017-01-03,757.92,758.76,747.7,753.67,3521100
2017-01-04,758.39,759.68,754.2,757.18,2510500
2017-01-05,761.55,782.4,760.26,780.45,5830100
2017-01-06,782.36,799.44,778.48,795.99,5986200
2017-01-09,798.0,801.77,791.77,796.92,3446100
2017-01-10,796.6,798.0,789.54,795.9,2558400
2017-01-11,793.66,799.5,789.51,799.02,2992800
2017-01-12,800.31,814.13,799.5,813.64,4873900
2017-01-13,814.32,821.65,811.4,817.14,3791900
2017-01-17,815.7,816.0,803.44,809.72,3670500
2017-01-18,809.5,811.73,804.27,807.48,2354200
2017-01-19,810.0,813.51,807.32,809.04,2540800
2017-01-20,815.28,816.02,806.26,808.33,3376200
2017-01-23,806.8,818.5,805.08,817.88,2797500
2017-01-24,822.0,823.99,814.5,822.44,2971700
2017-01-25,825.79,837.42,825.29,836.52,3922600
2017-01-26,835.53,843.84,833.0,839.15,3586300
2017-01-27,839.0,839.7,829.44,835.77,2998700
2017-01-30,833.0,833.5,816.38,830.38,3747300
2017-01-31,823.75,826.99,819.56,823.48,3137200
2017-02-01,829.21,833.78,824.94,832.35,3850200
2017-02-02,836.59,842.49,828.26,839.95,7350500
2017-02-03,806.72,818.3,804.0,810.2,10868800
2017-02-06,809.8,810.72,803.0,807.64,3897300
2017-02-07,809.31,816.16,807.5,812.5,3466100
2017-02-08,812.69,821.48,812.5,819.71,2858000
2017-02-09,821.6,825.0,819.71,821.36,2484900
2017-02-10,823.82,828.0,822.85,827.46,2429600
2017-02-13,831.62,843.0,828.55,836.53,4172600
2017-02-14,837.0,838.31,831.45,836.39,2792400
2017-02-15,834.0,842.81,832.82,842.7,2968900
2017-02-16,841.84,845.0,839.38,844.14,2714700
2017-02-17,842.0,847.27,840.73,845.07,3112300
2017-02-21,848.84,857.98,847.25,856.44,3507700
2017-02-22,856.95,858.43,852.18,855.61,2617000
2017-02-23,857.57,860.86,848.0,852.19,3462000
2017-02-24,844.69,845.81,837.75,845.24,3688000
2017-02-27,842.38,852.5,839.67,848.64,2713600
2017-02-28,851.45,854.09,842.05,845.04,2793700
2017-03-01,853.05,854.83,849.01,853.08,2760100
2017-03-02,853.08,854.82,847.28,848.91,2132100
2017-03-03,847.2,851.99,846.27,849.88,1941100
2017-03-06,845.23,848.49,841.12,846.61,2610400
2017-03-07,845.48,848.46,843.75,846.02,2247600
2017-03-08,848.0,853.07,846.79,850.5,2286500
2017-03-09,851.0,856.4,850.31,853.0,2048200
2017-03-10,857.0,857.35,851.72,852.46,2436400
2017-03-13,851.77,855.69,851.71,854.59,1909700
2017-03-14,853.55,853.75,847.55,852.53,2130600
2017-03-15,854.33,854.45,847.11,852.97,2562200
2017-03-16,855.3,855.5,850.51,853.42,1842300
2017-03-17,853.49,853.83,850.64,852.31,3384400
2017-03-20,851.51,857.8,851.01,856.97,2282700
2017-03-21,858.84,862.8,841.31,843.2,4382900
2017-03-22,840.43,849.37,839.05,848.06,2658700
2017-03-23,848.2,850.89,844.8,847.38,1953000
2017-03-24,851.68,851.8,843.53,845.61,2138300
2017-03-27,838.07,850.3,833.5,846.82,2755800
2017-03-28,851.75,858.46,850.1,856.0,3041600
2017-03-29,859.05,876.44,859.02,874.32,4485800
2017-03-30,874.95,877.06,871.66,876.34,2762700
2017-03-31,877.0,890.35,876.65,886.54,3957600
2017-04-03,888.0,893.49,885.42,891.51,3422300
2017-04-04,891.5,908.54,890.28,906.83,4984700
2017-04-05,910.82,923.72,905.62,909.28,7508400
2017-04-06,913.8,917.19,894.49,898.28,6344100
2017-04-07,899.65,900.09,889.31,894.88,3710900
2017-04-10,899.63,908.51,899.0,907.04,3184300
2017-04-11,907.04,911.24,897.5,902.36,3012700
2017-04-12,903.09,904.09,895.25,896.23,2456100
2017-04-13,891.45,894.97,884.49,884.67,3174600
2017-04-17,887.5,902.38,887.5,901.99,2854700
2017-04-18,900.99,909.61,900.78,903.78,2999200
2017-04-19,907.84,910.5,897.37,899.2,2870200
2017-04-20,899.7,905.32,896.29,902.06,2814400
2017-04-21,902.67,903.65,896.77,898.53,2420500
2017-04-24,908.68,909.99,903.82,907.41,3122900
2017-04-25,907.04,909.48,903.0,907.62,3380600
2017-04-26,910.3,915.75,907.56,909.29,2608900
2017-04-27,914.39,921.86,912.11,918.38,5305500
2017-04-28,948.83,949.59,924.33,924.99,7364700
2017-05-01,927.8,954.4,927.8,948.23,5466500
2017-05-02,946.65,950.1,941.41,946.94,3848800
2017-05-03,946.0,946.0,935.9,941.03,3582700
2017-05-04,944.75,945.0,934.22,937.53,2418400
2017-05-05,940.52,940.79,930.3,934.15,2866400
2017-05-08,940.95,949.05,939.21,949.04,3415700
2017-05-09,952.8,957.89,950.2,952.82,3262100
2017-05-10,953.5,953.75,945.0,948.95,2096500
2017-05-11,945.11,950.29,940.78,947.62,2194100
2017-05-12,954.5,962.79,951.53,961.35,3625900
2017-05-15,958.73,963.15,956.06,957.97,4270600
2017-05-16,961.0,970.06,960.91,966.07,3126100
2017-05-17,954.7,960.4,944.12,944.76,5145600
2017-05-18,944.8,962.75,944.76,958.49,3939300
2017-05-19,962.84,968.92,959.72,959.84,3972100
2017-05-22,964.0,971.38,962.9,970.67,2642200
2017-05-23,975.02,975.2,966.85,971.54,2415600
2017-05-24,976.0,981.0,970.23,980.35,2446000
2017-05-25,984.85,999.0,982.11,993.38,4822000
2017-05-26,995.0,998.65,989.25,995.78,3469200
2017-05-30,996.51,1001.2,995.52,996.7,3263100
2017-05-31,1000.0,1000.12,982.16,994.62,3913100
2017-06-01,998.59,998.99,991.37,995.95,2454800
2017-06-02,998.99,1008.48,995.67,1006.73,3752300
2017-06-05,1007.23,1013.21,1003.51,1011.34,2719900
2017-06-06,1012.0,1016.5,1001.25,1003.0,3346400
2017-06-07,1005.95,1010.25,1002.0,1010.07,2823000
2017-06-08,1012.06,1013.61,1006.11,1010.27,2767900
2017-06-09,1012.5,1012.99,927.0,978.31,7647700
